TABULKA PRO 90° KOLENA OBDÉLNÍKOVÁ [HW/RW]
Name="Elbow" Profile="rectangular" Coefficient=0
      | 0,250 | 0,500 | 0,750 | 1,000 | 1,500 | 2,000 | 3,000 | 4,000 | 5,000 | 6,000 | 8,000
0,500 | 1,530 | 1,380 | 1,290 | 1,180 | 1,060 | 1,000 | 1,000 | 1,060 | 1,120 | 1,160 | 1,180
0,750 | 0,570 | 0,520 | 0,480 | 0,440 | 0,400 | 0,390 | 0,390 | 0,400 | 0,420 | 0,430 | 0,440
1,000 | 0,270 | 0,250 | 0,230 | 0,210 | 0,190 | 0,180 | 0,180 | 0,190 | 0,200 | 0,210 | 0,210
1,500 | 0,220 | 0,200 | 0,190 | 0,170 | 0,150 | 0,140 | 0,140 | 0,150 | 0,160 | 0,170 | 0,170
2,000 | 0,200 | 0,180 | 0,160 | 0,150 | 0,140 | 0,130 | 0,130 | 0,140 | 0,140 | 0,150 | 0,150

TABULKA KOEFICIENTÙ PRO PØENÁSOBENÍ HRANATÝCH KOLEN PODLE ÚHLU [ÚHEL]
Name="Elbow" Profile="rectangular" Coefficient=1
Angle | 0,000 | 20,00 | 30,00 | 45,00 | 60,00 | 75,00 | 90,00 | 110,0 | 130,0 | 150,0 | 180,0 
koef  | 0,000 | 0,310 | 0,450 | 0,600 | 0,780 | 0,900 | 1,000 | 1,130 | 1,200 | 1,280 | 1,400

TABULKA PRO 90° KOLENA KRUHOVÁ [D]
Name="Elbow" Profile="round" Coefficient=0
R/D   | 0,500 | 0,750 | 1,000 | 1,500 | 2,000 | 2,500
Z     | 0,710 | 0,330 | 0,220 | 0,150 | 0,130 | 0,120

TABULKA KOEFICIENTÙ PRO PØENÁSOBENÍ KRUHOVÝCH KOLEN PODLE ÚHLU [ÚHEL]
Name="Elbow" Profile="round" Coefficient=1
Angle | 0,000 | 20,00 | 30,00 | 45,00 | 60,00 | 75,00 | 90,00 | 110,0 | 130,0 | 150,0 | 180,0 
koef  | 0,000 | 0,310 | 0,450 | 0,600 | 0,780 | 0,900 | 1,000 | 1,130 | 1,200 | 1,280 | 1,400

TABULKA PRO PØECHODKY KRUHOVÉ [ÚHEL; A1/A2]
Name="Transition" Profile="round" Coefficient=0
      | 10,00 | 15,00 | 20,00 | 30,00 | 45,00 | 60,00 | 90,00 | 120,0 | 150,0 | 180,0
0,060 | 0,210 | 0,290 | 0,380 | 0,600 | 0,840 | 0,880 | 0,880 | 0,880 | 0,880 | 0,880
0,100 | 0,210 | 0,280 | 0,380 | 0,590 | 0,760 | 0,800 | 0,830 | 0,840 | 0,830 | 0,830
0,250 | 0,160 | 0,220 | 0,300 | 0,460 | 0,610 | 0,680 | 0,640 | 0,630 | 0,620 | 0,620
0,500 | 0,110 | 0,130 | 0,190 | 0,320 | 0,330 | 0,330 | 0,320 | 0,310 | 0,300 | 0,300
1,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000
2,000 | 0,200 | 0,200 | 0,200 | 0,200 | 0,220 | 0,240 | 0,480 | 0,720 | 0,960 | 1,040
4,000 | 0,800 | 0,640 | 0,640 | 0,640 | 0,880 | 1,120 | 2,720 | 4,320 | 5,600 | 6,560
6,000 | 1,800 | 1,440 | 1,440 | 1,440 | 1,980 | 2,520 | 6,480 | 10,10 | 13,00 | 15,10
10,00 | 5,00 0| 5,000 | 5,000 | 5,000 | 6,500 | 8,000 | 19,00 | 29,00 | 37,00 | 43,00

TABULKA PRO PØECHODKY OBDÉLNÍKOVÉ [ÚHEL; A1/A2]
Name="Transition" Profile="rectangular" Coefficient=0
      | 10,00 | 15,00 | 20,00 | 30,00 | 45,00 | 60,00 | 90,00 | 120,0 | 150,0 | 180,0
0,060 | 0,260 | 0,270 | 0,400 | 0,560 | 0,710 | 0,830 | 1,000 | 0,990 | 0,980 | 0,980
0,100 | 0,240 | 0,260 | 0,360 | 0,530 | 0,690 | 0,820 | 0,930 | 0,930 | 0,920 | 0,910
0,250 | 0,170 | 0,190 | 0,220 | 0,420 | 0,600 | 0,680 | 0,700 | 0,690 | 0,670 | 0,660
0,500 | 0,140 | 0,130 | 0,150 | 0,240 | 0,350 | 0,370 | 0,380 | 0,370 | 0,360 | 0,350
1,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000 | 0,000
2,000 | 0,230 | 0,200 | 0,200 | 0,200 | 0,240 | 0,280 | 0,540 | 0,780 | 1,020 | 1,090
4,000 | 0,810 | 0,640 | 0,640 | 0,640 | 0,880 | 1,120 | 2,780 | 4,380 | 5,650 | 6,600
6,000 | 1,820 | 1,440 | 1,440 | 1,440 | 1,980 | 2,530 | 6,560 | 10,20 | 12,00 | 15,20
10,00 | 5,030 | 5,000 | 5,000 | 5,000 | 6,500 | 8,020 | 19,10 | 29,10 | 37,10 | 43,10
